x, y
0.09123152354418235, 1591.343949894683
0.09779984449628436, 1543.595939050757
0.10779750165872402, 1467.1783529200754
0.11396284564913549, 1452.3549437023166
0.12048080881842586, 1437.6813005033937
0.12561277685224057, 1380.4543535317152
0.1365418241215536, 1298.8565557772213
0.14435116387279182, 1222.0819530681492
0.15049990711168854, 1173.4369445403286
0.15910756205350823, 1081.8788004065286
0.1658848648489051, 1028.3190803259838
0.1729508518060581, 967.5357794302626
0.18799858884382625, 910.3453416238933
0.19875093423308804, 892.0432011883297
0.22213569833584632, 847.8815223224095
0.24146280508526635, 822.4409781051181
0.2624714833160012, 781.7250415755111
0.2813684267870688, 743.0247967874591
0.29746094389080613, 713.4486726287123
0.3101315100193636, 671.2771655821866
0.33245979322709396, 638.0447766384957
0.3466211609013551, 612.6473853074255
0.36644572694814775, 582.3175346320878
0.39282841850712547, 553.4891999413923
0.4095612318599209, 520.772797779619
0.4577496483301911, 489.9902417895944
0.4772478288766115, 465.7326815318393
0.5116078482205543, 438.20351256071956
0.5334001581217394, 416.509717042918
0.6045064877214608, 384.0112884877452
0.6390804841860313, 354.0485699420627
0.6946842292475754, 329.75534309107434
0.7344158294435112, 316.6294218412862
0.7764198290803259, 300.95429890079447
0.8208261952168205, 288.9748040725154
0.8677723282160237, 271.89368323825676
0.9302486186872154, 258.43325720861526
0.9698732379226143, 245.63920586904214
1.1145548582839508, 217.45828805606465
1.178300436722862, 202.53727446960096
1.0690192046030011, 228.7845439432793
1.298753018844868, 192.51042144096954
1.3540743521086331, 181.13125023245794
1.431518949997119, 168.7028352485468
1.513392895308639, 158.73091564395963
1.6223513986510065, 152.4126268207399
1.6914566412132404, 141.95475512557326
1.81323505359142, 139.1008097654863
1.8904711248303474, 130.8786474653045
2.0549531847154334, 123.14249206187975
2.142485416266427, 117.04617387690685
2.20290195871808, 107.91357369076754
2.361502478897568, 101.53486950655736
2.602908713169917, 94.56800160306054
2.9911997140441073, 82.87286410163236
2.829377015812438, 88.07916896587822
3.296977186384942, 78.77014261204536
3.6340129736260343, 72.62405346403504
4.11845475778715, 66.95751672716273
4.293883345733711, 63.642703781528084
4.866290908415407, 59.88082316705622
5.003516799904883, 57.49726521801587
5.144612362494897, 55.77206932726733
5.670523941381169, 53.01100549982311
6.42644824743834, 49.87755795447657
6.7940009594434025, 48.380990114295656
7.916819159263009, 45.061303303205435
8.254041852680182, 41.9693985300126
8.60562879298337, 41.125620031050616
8.97219183575829, 40.71011369956679
9.618155350689065, 39.89165263428783
9.889380389907366, 39.08964641166345
11.364636663857242, 36.77908173849385
11.685111215626215, 35.675531501101446
12.526394555458527, 34.60509310524735
13.24282610726313, 33.566773035627094
14.395029538573482, 32.2306466355358
16.31399731423342, 30.947704786581607
17.488542758711514, 29.11840521598684
19.010148404817034, 28.2447123049711
21.846002583461615, 26.306686673409164
24.079225400165768, 25.259548227125833
25.104897590156654, 24.501639678982425
30.07882518043099, 22.589884072786223
27.289170713716643, 24.00904370490253
31.799146163860748, 22.361650678307516
33.15365401632276, 21.25461008335451
36.54280936973367, 20.61686903886782
39.17375195522771, 19.796213952934515
41.994112349794214, 19.202231842055248
45.01752791161477, 18.437886431860115
48.258617836529794, 17.5250965372839
53.19188862798949, 16.99925892715666
57.81989447044586, 16.157690029260618
61.12683139768715, 15.51453269657114
65.52772959391856, 15.357784018725773
69.27550656129385, 14.746466968601823
77.4263682681127, 14.159483411859249
79.60973597266376, 13.734630464425358
86.53624925694723, 13.322525159097689
91.48558236856374, 12.66297741861219
98.0721945848519, 12.283026884888603
112.70219309406005, 11.21021940044895
106.60504989847921, 12.036081387677598
125.9625795648843, 10.763996283443994
136.9220617189058, 10.441024363200183
146.77992676220705, 10.025419077554723
157.3475204057933, 9.724608043672534
171.03767622686075, 9.529098566160824
191.16173615484252, 8.78558475057398
204.9246504200854, 8.608953972602707
222.75429519995564, 8.182757281452428
238.79175295022588, 7.7776599735867515
270.62452396170085, 7.468069986768156
298.289304251002, 7.026637017371018
310.9951549940195, 6.885369202178762
347.5864211669218, 6.544500662207994
